;ibge;road.dist;area.muni;dens.road
654;5108105;101436,6851;4191951472;2,42E-05
655;5108204;NA;NA;NA
656;5108352;21369,09361;1933636616;1,11E-05
657;5108402;211927,1683;1047531858;0,000202311
658;5201504;2669,154199;2898631209;9,21E-07
659;5201702;114006,5875;662623335,3;0,000172053
660;5203104;NA;NA;NA
661;5203401;98901,9877;1898597608;5,21E-05
662;5205471;774,6594244;2184959901;3,55E-07
663;5207253;NA;NA;NA
664;5213103;188232,3635;9060900653;2,08E-05
665;5216452;23975,92213;1029235664;2,33E-05
666;5217203;77000,06685;2046544315;3,76E-05
667;5218102;38534,92647;556583288,4;6,92E-05
668;5219407;45350,05725;1362309175;3,33E-05
669;5220504;120274,3953;5524657219;2,18E-05
670;2900801;37547,96094;1479582565;2,54E-05
671;2900900;NA;NA;NA
672;2901205;32399,34249;1336789741;2,42E-05
673;2902252;65804,86105;435634892,3;0,000151055
674;2902401;78675,21785;445069344,3;0,000176771
675;2902906;6162,336399;773540136,8;7,97E-06
676;2903300;8958,802321;201435457,6;4,45E-05
677;2903409;30813,17154;1930477796;1,60E-05
678;2903508;174,8688341;773212893,4;2,26E-07
679;2903953;47674,44036;467775190,9;0,000101917
680;2904704;38673,66437;219316185,1;0,000176337
681;2904803;NA;NA;NA
682;2905008;NA;NA;NA
683;2905602;61213,5547;584425215,8;0,000104741
684;2906303;NA;NA;NA
685;2906600;21870,73178;433881563,7;5,04E-05
686;2906709;54839,67443;1170603908;4,68E-05
687;2906899;NA;NA;NA
688;2906907;201563,3654;2395051822;8,42E-05
689;2908002;NA;NA;NA
690;2908705;NA;NA;NA
691;2909000;NA;NA;NA
692;2910008;34801,38494;413422756,9;8,42E-05
693;2910404;60037,79296;1890794302;3,18E-05
694;2910727;150032,5916;1424975661;0,000105288
