"";"ibge";"cen.saude";"cen.saude.ba";"cen.saude.ba.adj";"mod.saude";"mod.saude.ba";"mod.saude.ba.adj";"degree.saude";"degree.saude.ba";"polo.saude"
"2921203";"2921203";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2921302";"2921302";6,69473665686118e-19;0;0;2;6;6;0;0;"NO"
"2921401";"2921401";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2921450";"2921450";6,69473665686118e-19;0;0;2;5;1;0;0;"NO"
"2921500";"2921500";0;0;6,06517941881442e-18;2;3;2;1;1;"YES"
"2921609";"2921609";6,69473665686118e-19;0;0;2;2;3;0;0;"NO"
"2921708";"2921708";6,69473665686118e-19;0;0;2;2;3;0;0;"NO"
"2921807";"2921807";6,69473665686118e-19;0;0;2;16;1;0;0;"NO"
"2921906";"2921906";6,69473665686118e-19;0;0;2;2;3;0;0;"NO"
"2922003";"2922003";6,69473665686118e-19;0;0;11;18;9;0;0;"NO"
"2922052";"2922052";6,69473665686118e-19;0;0;2;2;3;0;0;"NO"
"2922102";"2922102";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2922201";"2922201";6,69473665686118e-19;0;0;2;6;6;0;0;"NO"
"2922250";"2922250";6,69473665686118e-19;0;0;2;4;4;0;0;"NO"
"2922409";"2922409";6,69473665686118e-19;0;0;2;6;6;0;0;"NO"
"2922508";"2922508";6,69473665686118e-19;0;0;2;6;6;0;0;"NO"
"2922607";"2922607";6,69473665686118e-19;0;0;2;6;6;0;0;"NO"
"2922656";"2922656";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2922706";"2922706";6,69473665686118e-19;0;0;2;5;1;0;0;"NO"
"2922730";"2922730";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2922755";"2922755";6,69473665686118e-19;0;0;2;6;6;0;0;"NO"
"2922854";"2922854";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2922904";"2922904";6,69473665686118e-19;0;0;2;1;2;0;0;"NO"
"2923001";"2923001";6,69473665686118e-19;0;0;11;18;9;0;0;"NO"
"2923035";"2923035";6,69473665686118e-19;0;0;2;2;3;0;0;"NO"
"2923050";"2923050";6,69473665686118e-19;0;0;2;1;2;0;0;"NO"
"2923100";"2923100";6,69473665686118e-19;0;0;2;11;14;0;0;"NO"
"2923209";"2923209";6,69473665686118e-19;0;0;2;2;3;0;0;"NO"
"2923308";"2923308";6,69473665686118e-19;0;0;2;11;14;0;0;"NO"
"2923357";"2923357";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2923407";"2923407";6,69473665686118e-19;0;0;2;16;1;0;0;"NO"
"2923506";"2923506";6,69473665686118e-19;0;0;2;2;3;0;0;"NO"
"2923605";"2923605";0;0;2,06625217153214e-17;2;5;1;6;6;"YES"
"2923704";"2923704";6,69473665686118e-19;0;0;2;4;4;0;0;"NO"
"2923803";"2923803";6,69473665686118e-19;0;0;25;26;11;0;0;"NO"
"2923902";"2923902";6,69473665686118e-19;0;0;2;7;7;0;0;"NO"
"2924009";"2924009";0;0;4,28056570224433e-17;2;1;13;8;5;"YES"
"2924058";"2924058";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2924108";"2924108";6,69473665686118e-19;0;0;2;11;14;0;0;"NO"
"2924207";"2924207";6,69473665686118e-19;0;0;25;1;11;0;0;"NO"
"2924306";"2924306";6,69473665686118e-19;0;0;2;2;3;0;0;"NO"
"2924405";"2924405";6,69473665686118e-19;0;0;2;20;5;0;0;"NO"
"2924504";"2924504";6,69473665686118e-19;0;0;2;16;1;0;0;"NO"
"2924603";"2924603";6,69473665686118e-19;0;0;2;9;5;0;0;"NO"
"2924652";"2924652";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2924678";"2924678";6,69473665686118e-19;0;0;2;6;6;0;0;"NO"
"2924702";"2924702";6,69473665686118e-19;0;0;2;5;1;0;0;"NO"
"2924801";"2924801";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2924900";"2924900";6,69473665686118e-19;0;0;2;8;8;0;0;"NO"
"2925006";"2925006";6,69473665686118e-19;0;0;2;5;1;0;0;"NO"
"2925105";"2925105";6,69473665686118e-19;0;0;2;5;1;0;0;"NO"
"2925204";"2925204";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2925253";"2925253";6,69473665686118e-19;0;0;2;9;5;0;0;"NO"
"2925303";"2925303";6,69473665686118e-19;0;0;2;10;12;0;0;"NO"
"2925402";"2925402";6,69473665686118e-19;0;0;2;5;1;0;0;"NO"
"2925501";"2925501";6,69473665686118e-19;0;0;11;18;9;0;0;"NO"
"2925600";"2925600";6,69473665686118e-19;0;0;2;2;3;0;0;"NO"
"2925709";"2925709";6,69473665686118e-19;0;0;2;5;1;0;0;"NO"
"2925758";"2925758";6,69473665686118e-19;0;0;2;6;6;0;0;"NO"
"2925808";"2925808";0;0;6,28752556746867e-18;2;3;2;1;1;"YES"
"2925907";"2925907";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2925931";"2925931";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2925956";"2925956";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2926004";"2926004";0;0;5,83648052305576e-18;2;20;5;1;1;"YES"
"2926103";"2926103";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2926202";"2926202";6,69473665686118e-19;0;0;2;4;4;0;0;"NO"
"2926301";"2926301";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2926400";"2926400";6,69473665686118e-19;0;0;2;16;1;0;0;"NO"
"2926509";"2926509";6,69473665686118e-19;0;0;2;1;2;0;0;"NO"
"2926608";"2926608";0;0;4,76134160310587e-17;2;1;2;10;10;"YES"
"2926657";"2926657";6,69473665686118e-19;0;0;2;5;1;0;0;"NO"
"2926707";"2926707";6,69473665686118e-19;0;0;2;5;1;0;0;"NO"
"2926806";"2926806";6,69473665686118e-19;0;0;2;16;1;0;0;"NO"
"2926905";"2926905";6,69473665686118e-19;0;0;2;5;1;0;0;"NO"
"2927002";"2927002";0;0;6,03256865034513e-18;25;12;11;1;1;"YES"
"2927101";"2927101";6,69473665686118e-19;0;0;2;1;13;0;0;"NO"
"2927200";"2927200";0;0;5,5438306397794e-18;2;3;2;1;1;"YES"
"2927309";"2927309";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2927507";"2927507";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2927606";"2927606";6,69473665686118e-19;0;0;2;1;13;0;0;"NO"
"2927705";"2927705";6,69473665686118e-19;0;0;2;10;12;0;0;"NO"
"2927804";"2927804";6,69473665686118e-19;0;0;2;7;7;0;0;"NO"
"2927903";"2927903";6,69473665686118e-19;0;0;2;8;8;0;0;"NO"
"2928000";"2928000";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2928059";"2928059";6,69473665686118e-19;0;0;2;7;7;0;0;"NO"
"2928109";"2928109";0;0;2,29071590255453e-17;2;4;4;4;4;"YES"
"2928208";"2928208";6,69473665686118e-19;0;0;2;4;4;0;0;"NO"
"2928307";"2928307";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2928406";"2928406";6,69473665686118e-19;0;0;2;4;4;0;0;"NO"
"2928505";"2928505";6,69473665686118e-19;0;0;2;6;6;0;0;"NO"
"2928604";"2928604";0;0;6,37434644456224e-18;2;3;2;1;1;"YES"
"2928703";"2928703";0;0;1,42091470967803e-16;2;6;6;20;20;"YES"
"2928802";"2928802";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2928901";"2928901";6,69473665686118e-19;0;0;2;4;4;0;0;"NO"
"2928950";"2928950";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2929107";"2929107";6,69473665686118e-19;0;0;2;6;6;0;0;"NO"
"2929255";"2929255";6,69473665686118e-19;0;0;2;2;3;0;0;"NO"
