"";"icao";"uf";"ibge";"long";"lat";"nat.centrality";"nat.module";"int.centrality";"int.module";"nat.degree";"int.degree";"dif.degree";"nat.strength";"int.strength";"dif.strength";"nat.fligths";"int.fligths";"n.nat.fligths";"n.int.fligths"
"272";"SNTO";"MG";3168606;-41,5135994;-17,89229965;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"273";"SNTP";"PA";1507953;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"274";"SNTS";"PB";2510808;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"275";"SNUB";"MG";3169901;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"276";"SNUC";"RN";2400208;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"277";"SNUI";"MG";3103405;-42,045;-16,853;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"278";"SNUO";"PA";1508126;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"279";"SNVR";"BA";2933208;-13,02138889;-38,68111111;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"280";"SNVV";"BA";2933000;-11,41111111;-39,44333333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"281";"SNWR";"PA";1507805;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"282";"SNXL";"MT";5107065;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"283";"SNYB";"MG";3134202;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"284";"SNYV";"PA";1504703;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"285";"SNZA";"MG";3152501;-45,91910172;-22,28919983;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"286";"SSBB";"MS";5002159;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"287";"SSBG";"RS";4302105;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"288";"SSCK";"SC";4204301;-52,05270004;-27,18059921;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
