"";"ibge";"id.sus";"mortes";"mortes.diabetes";"mortes.hipertensao";"estabelecimentos.saude";"leitos";"profissionais.saude";"aux.enf.intensivista";"sup.enf.intensivista";"sup.med.intensivista";"sup.med.infectologista";"p_diabetes";"p_hipertensao"
"34";1101450;"110145";13;0;NA;1;8;67;NA;NA;NA;NA;0;NA
"35";1100189;"110018";215;4;21;7;58;409;NA;NA;NA;1;0,0186046511627907;0,0976744186046512
"36";1101468;"110146";10;0;NA;2;9;49;NA;NA;NA;NA;0;NA
"37";1100205;"110020";2220;66;47;15;1701;9067;31;1;13;25;0,0297297297297297;0,0211711711711712
"38";1100254;"110025";113;6;3;1;45;207;NA;NA;NA;NA;0,0530973451327434;0,0265486725663717
"39";1101476;"110147";16;1;1;1;NA;76;NA;NA;NA;NA;0,0625;0,0625
"40";1100262;"110026";16;1;1;2;9;56;NA;NA;NA;NA;0,0625;0,0625
"41";1100288;"110028";265;17;9;3;94;462;NA;NA;NA;NA;0,0641509433962264;0,0339622641509434
"42";1100296;"110029";43;2;5;4;25;90;NA;NA;NA;NA;0,0465116279069767;0,116279069767442
"43";1101484;"110148";25;3;2;4;7;84;NA;NA;NA;NA;0,12;0,08
"44";1101492;"110149";77;3;2;1;29;252;NA;NA;NA;NA;0,038961038961039;0,025974025974026
"45";1100320;"110032";84;5;3;3;44;139;NA;NA;NA;NA;0,0595238095238095;0,0357142857142857
"46";1101500;"110150";51;4;6;2;36;98;NA;NA;NA;NA;0,0784313725490196;0,117647058823529
"47";1101559;"110155";28;0;3;3;9;52;NA;NA;NA;NA;0;0,107142857142857
"48";1101609;"110160";33;2;NA;2;13;168;NA;NA;NA;NA;0,0606060606060606;NA
"49";1101708;"110170";50;11;3;2;25;99;NA;NA;NA;NA;0,22;0,06
"50";1101757;"110175";29;5;2;2;12;95;NA;NA;NA;NA;0,172413793103448;0,0689655172413793
