"";"ibge";"dist.ilheus";"dist.ssa";"dist.min.ilh.ssa";"dist.min.loc";"dist.min.nat";"dist.min.int";"dist.min.nat.wint";"nat.airport";"loc.airport"
"181";"2910750";475,767926283515;256,425355255577;256,425355255577;132,037115731029;132,037115731029;256,425355255577;132,037115731029;"NO";"NO"
"182";"2910800";290,552082175132;111,165048113473;111,165048113473;14,2924432539054;111,165048113473;111,165048113473;122,531383161612;"NO";"YES"
"183";"2910859";468,684215690927;312,865436213353;312,865436213353;212,064101779693;230,654832291812;312,865436213353;230,654832291812;"NO";"NO"
"184";"2911105";841,795000602108;836,150193168267;836,150193168267;142,964386479965;142,964386479965;836,150193168267;142,964386479965;"NO";"NO"
"185";"2911204";123,577386161519;158,985733528606;123,577386161519;76,0371745468594;76,0371745468594;158,985733528606;76,0371745468594;"NO";"NO"
"186";"2911253";374,094504245069;219,449242927958;219,449242927958;119,724258277078;198,018714756842;219,449242927958;198,018714756842;"NO";"NO"
"187";"2911303";540,161641103304;494,163672049101;494,163672049101;186,831701984447;186,831701984447;494,163672049101;186,831701984447;"NO";"NO"
"188";"2911402";625,517500253458;411,004206266608;411,004206266608;29,2436224761711;29,2436224761711;411,004206266608;29,2436224761711;"NO";"NO"
"189";"2911600";247,086901382026;89,0031591635339;89,0031591635339;45,9806475161767;79,4048506759796;89,0031591635339;79,4048506759796;"NO";"NO"
"190";"2911857";456,890001725463;239,146440142549;239,146440142549;149,030345204647;149,030345204647;239,146440142549;149,030345204647;"NO";"NO"
"191";"2911907";250,393368570967;194,56048802647;194,56048802647;131,723465527295;131,723465527295;194,56048802647;131,723465527295;"NO";"NO"
"192";"2912202";295,041924117514;331,094353736419;295,041924117514;99,8942662238805;99,8942662238805;331,094353736419;99,8942662238805;"NO";"NO"
"193";"2912400";495,181262648792;445,157688427494;445,157688427494;140,829553842693;140,829553842693;445,157688427494;140,829553842693;"NO";"NO"
"194";"2912509";419,734512196337;438,206038866588;419,734512196337;122,126409984325;124,786093938937;438,206038866588;124,786093938937;"NO";"NO"
"195";"2912608";313,301184694524;277,395818792484;277,395818792484;47,7561052565435;47,7561052565435;277,395818792484;47,7561052565435;"NO";"NO"
"196";"2912905";112,817094888433;184,048858187345;112,817094888433;101,753183352109;101,753183352109;184,048858187345;101,753183352109;"NO";"NO"
"197";"2913002";430,075393547841;431,627446325368;430,075393547841;109,793614024683;109,793614024683;431,627446325368;109,793614024683;"NO";"NO"
"198";"2913101";475,52588597765;417,909686166364;417,909686166364;122,045674510801;122,045674510801;417,909686166364;122,045674510801;"NO";"NO"
"199";"2913200";546,316268204939;539,389414419972;539,389414419972;137,148762529832;196,493685055033;539,389414419972;196,493685055033;"NO";"NO"
"200";"2913309";341,482642249025;158,293516773747;158,293516773747;58,275385855924;158,293516773747;158,293516773747;173,975619258284;"NO";"NO"
"201";"2913408";409,784306616126;486,189853424466;409,784306616126;38,4535174883301;217,417217590224;482,513739821164;217,417217590224;"NO";"NO"
"202";"2913457";106,20172597141;143,112869285494;106,20172597141;67,6078411029844;67,6078411029844;143,112869285494;67,6078411029844;"NO";"NO"
"203";"2913705";341,234759600223;124,010964366086;124,010964366086;69,9954768981202;124,010964366086;124,010964366086;177,893421833581;"NO";"NO"
"204";"2913804";279,42327658315;127,800585196146;127,800585196146;47,1908162953792;115,348322407964;127,800585196146;115,348322407964;"NO";"NO"
"205";"2913903";112,607687635399;197,963940620464;112,607687635399;112,607687635399;112,607687635399;197,963940620464;112,607687635399;"NO";"YES"
"206";"2914000";300,401491099877;177,263490103885;177,263490103885;95,8174307412827;148,601996510552;177,263490103885;148,601996510552;"NO";"NO"
"207";"2914109";499,887906060838;469,732997660682;469,732997660682;151,277649591975;151,277649591975;469,732997660682;151,277649591975;"NO";"NO"
"208";"2914208";207,078020616396;190,957870539741;190,957870539741;115,08999920725;115,08999920725;190,957870539741;115,08999920725;"NO";"NO"
"209";"2914307";252,497941028762;288,395418139612;252,497941028762;115,759430155195;115,759430155195;288,395418139612;115,759430155195;"NO";"NO"
"210";"2914406";396,069797915687;361,758981788226;361,758981788226;42,1665998505503;42,1665998505503;361,758981788226;42,1665998505503;"NO";"NO"
"211";"2914505";307,361818457573;105,897305773875;105,897305773875;23,2964635979956;105,897305773875;105,897305773875;140,152128805345;"NO";"NO"
"212";"2914604";492,852656653821;421,736563346835;421,736563346835;143,212388179596;143,212388179596;421,736563346835;143,212388179596;"NO";"YES"
"213";"2914703";288,847592619814;215,229080428571;215,229080428571;110,646823546556;110,646823546556;215,229080428571;110,646823546556;"NO";"NO"
"214";"2915007";288,8422399162;295,546454633136;288,8422399162;72,1509156748749;72,1509156748749;295,546454633136;72,1509156748749;"NO";"NO"
"215";"2915353";565,617399376696;486,82613649391;486,82613649391;215,146131639033;215,146131639033;486,82613649391;215,146131639033;"NO";"NO"
"216";"2915700";134,753629724759;173,860348120878;134,753629724759;89,6563172126851;89,6563172126851;173,860348120878;89,6563172126851;"NO";"NO"
"217";"2915908";296,499739352147;72,129489131863;72,129489131863;72,129489131863;72,129489131863;72,129489131863;149,530633617887;"NO";"NO"
"218";"2916104";216,653163339285;36,3321012370904;36,3321012370904;36,3321012370904;36,3321012370904;36,3321012370904;57,6234117331348;"NO";"NO"
"219";"2916500";411,49599593025;190,799526913082;190,799526913082;136,214308578278;190,799526913082;190,799526913082;197,814182626584;"NO";"NO"
"220";"2916708";177,78171042264;180,997771003108;177,78171042264;99,5821179409077;99,5821179409077;180,997771003108;99,5821179409077;"NO";"NO"
"221";"2916856";244,923629560908;154,90305444209;154,90305444209;103,359985590123;103,359985590123;154,90305444209;103,359985590123;"NO";"NO"
